광주광역시,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
(y) 전국출산율 대비 지역출산율,1.105405405,0.960135135,0.854054054,0.863513514,0.812837838,0.746621622,0.778378378,1.002382844,1.005033557,0.989556136,0.997553018,0.991961415,0.99845798,0.98567818,0.995020747,0.97417272,0.996587031,1.00095057,0.994882293,0.994553377,0.968936679,1.108910891,1.076923077
사교육비,,,,,,,,,,20.9,21.3,21.6,23.1,0.8,23.1,22.8,22.8,24.5,26.2,27.6,29.9,32,35.6
주택매매가격변동률,,,,,0.140833333,0.345833333,0.2725,0.029166667,0.115,-0.060833333,0.154166667,1.228333333,0.24,0.071666667,0.118333333,0.474166667,0.029166667,0.11,0.3175,0.046666667,0.160833333,0.6525,-0.241666667
주택전세가격변동률,,,,,,,,,,0.003141715,0.002901404,0.010007809,0.000823657,0.001044775,0.002592013,0.004389125,0.000990109,0.000993262,-0.00107244,-0.000179248,0.002150084,0.005433811,-0.004587711
실업률,6.5,5.1,3.8,4.6,4.3,4.4,4.2,4,3.8,3.8,3.5,3.1,2.7,2.8,2.8,2.9,3.1,2.9,3.8,3.7,3.9,3.6,2.9
비정규직근로자 비율,,,,0.334,0.329,0.369,0.409,0.409,0.408,0.393,0.367,0.369,0.377,0.381,0.396,0.355,0.337,0.369,0.355,0.37,0.408,0.4,0.377
국공립 보육시설 이용률,,,,,,,,,,77.5,78.1,79,85.5,84.1,82.2,81,84.2,82.6,81.9,81.9,73,76.9,
사립 보육시설 이용률,,,,,,,,,,76.9,79.5,81.2,86.4,82.5,81.9,77,74.4,72.1,70.8,71.1,67,71.3,
유아 천명당 보육시설수,,,,,,,,,,13.4,13.9,13.9,14.1,14.6,14.9,15.2,15.5,16.2,16.7,16.6,17.2,17.3,
여성 첫 출산 평균연령,28.9,29.07,29.26,29.43,29.68,30.01,30.22,30.39,30.6,30.86,31.06,31.16,31.46,31.7,31.9,32.16,32.26,32.43,32.64,32.81,33.08,33.14,
고령인구비율,5.6,5.8,6.1,6.4,6.8,7.1,7.5,8.1,8.3,8.7,9,9.3,9.9,10.3,10.8,11.3,11.7,12.4,12.8,13.4,14.2,14.8,15.6
범죄 발생 건수,,,,,48.2,44.8,40.5,42.3,43.4,43,42.6,43.5,45.8,46.1,43.9,41.6,36.9,32.9,29.9,30.4,30,27.3,
평균초혼연령,26.17,26.51,26.74,27.01,27.35,27.64,27.88,28.07,28.4,28.7,29.01,29.15,29.57,29.68,29.89,30.09,30.14,30.3,30.4,30.65,30.68,31.04,31.1
여성 경제활동참가율,,,,,,,,0.489,0.48,0.478,0.497,0.487,0.472,0.489,0.503,0.497,0.494,0.516,0.528,0.526,0.528,0.517,0.517
여성 실업률,,,,,,,,,,,0.031,0.026,0.023,0.021,0.024,0.03,0.029,0.024,0.034,0.039,0.037,0.037,0.032
남성 실업률,,,,,,,,,,,0.038,0.034,0.029,0.034,0.031,0.029,0.032,0.032,0.041,0.035,0.04,0.034,0.027
1인당 지역내총생산,"9,862","10,670","11,700","12,068","12,723","13,904","14,938","16,116","16,525","17,031","18,667","19,093","19,799","20,789","21,944","23,139","24,511","25,240","26,654","27,799","28,433","29,583",
지가변동률,0.31,0.37,1.03,0.91,0.68,1.865,1.442,0.941,0.896,0.333,0.666,0.751,1.152,0.746,1.313,2.869,2.823,4.174,5.256,4.769,3.884,3.467,
뉴스인덱스,,,,,,,,,,0.394265233,0.397530864,0.46559633,0.475583864,0.535416667,0.701357466,0.434911243,0.340983607,0.316901408,0.313492063,0.262068966,0.422885572,0.158823529,0.320930233
커뮤니티인덱스,,,,,,,,,,0.752413793,0.735966736,0.737656595,0.620689655,0.560900716,0.523047977,0.48509687,0.583673469,0.549208534,0.530695771,0.502739726,0.5,0.515646259,0.406271302
뉴스ver2,,,,,,,0.595393307,0.593974469,0.568248119,0.578120397,0.587014995,0.618027879,0.606778317,0.598427034,0.66198786,0.581504065,0.518930702,0.546044256,0.60145562,0.546324979,0.578251821,0.518930702,0.571613141
뉴스ver3,,,,,,,12330,14471,11103,11774,18987,32410,24492,25642,12215,14305,4523,9007,10991,3880,5557,4523,6194
커뮤니티ver2,,,,,,,,0.56217843,0.569401,0.5737436,0.57336728,0.57517061,0.55269156,0.54028249,0.5388029,0.54232521,0.54148806,0.53607223,0.53296719,0.52452888,0.52318865,0.52734062,0.52092387
커뮤니티ver3,,,,,,,,18684,19297,23084,21167,19301,13337,10978,10199,13691,19075,19416,18535,17118,9510,19066,8751
