대구광역시,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
(y) 전국출산율 대비 지역출산율,0.931081081,0.821621622,0.727027027,0.754054054,0.734459459,0.676351351,0.683108108,0.903097697,0.899328859,0.895561358,0.9045677,0.921221865,0.938319198,0.949452401,0.970124481,0.981436642,1.011945392,1.014258555,1.010235415,1.015250545,0.964157706,0.971534653,0.974358974
사교육비,,,,,,,,,,25.1,25,24.4,24.8,-0.6,24.2,24.4,26.5,30,30.3,32.9,29,40,43.7
주택매매가격변동률,,,,,-0.173333333,0.575,0.18,-0.1,-0.1825,-0.098333333,0.1275,0.720833333,0.4025,0.71,0.5075,0.640833333,-0.154166667,0.1075,0.298333333,0.100833333,0.476666667,0.563333333,-0.7675
주택전세가격변동률,,,,,,,,,,-6.92E-05,0.003655355,0.008616873,0.004942324,0.008703703,0.004907763,0.005597643,-0.001330275,4.91E-05,0.00011202,0.000923896,0.003104826,0.004268135,-0.009649307
실업률,4.9,4.8,4.2,4.4,4.2,4.3,3.7,3.6,3.7,4.3,4,3.7,3.3,3.3,3.8,3.5,4.1,4,4.4,3.7,3.9,3.7,2.9
비정규직근로자 비율,,,,0.368,0.403,0.373,0.32,0.313,0.314,0.344,0.31,0.297,0.297,0.297,0.311,0.319,0.329,0.321,0.308,0.338,0.361,0.383,0.381
국공립 보육시설 이용률,,,,,,,,,,76.7,79.6,84.3,85.6,87.1,84.8,85.8,88.6,87.8,88.2,88.3,85.3,85,
사립 보육시설 이용률,,,,,,,,,,78,80.3,81.4,83.6,79.7,79.4,76.4,77.7,78.4,78.7,78.9,72.1,74.5,
유아 천명당 보육시설수,,,,,,,,,,12.1,12.5,12.6,12.5,12.9,13,12.6,12.3,12.6,12.9,12.9,13.4,13.9,
여성 첫 출산 평균연령,29.08,29.31,29.56,29.8,30.04,30.26,30.49,30.69,30.83,31.04,31.39,31.58,31.78,32,32.2,32.42,32.55,32.64,32.83,32.94,33,33.31,
고령인구비율,5.9,6.2,6.6,6.9,7.4,7.8,8.3,8.9,9.3,9.7,10,10.4,10.9,11.6,12.2,12.7,13.2,14,14.7,15.6,16.6,17.5,18.4
범죄 발생 건수,,,,,45.9,36.9,35.9,38,42.8,39.2,38.4,38.4,39.1,38.4,38.4,39.8,34.7,30.3,29.4,31.1,29.9,28.5,
평균초혼연령,26.51,26.77,27.09,27.33,27.66,27.85,28.13,28.38,28.66,29,29.32,29.55,29.72,29.86,29.99,30.16,30.27,30.4,30.51,30.62,30.67,31.03,31.22
여성 경제활동참가율,,,,,,,,0.491,0.476,0.478,0.494,0.487,0.506,0.501,0.508,0.51,0.517,0.524,0.523,0.506,0.487,0.508,0.517
여성 실업률,,,,,,,,,,,0.038,0.027,0.028,0.029,0.042,0.035,0.039,0.038,0.038,0.035,0.039,0.038,0.034
남성 실업률,,,,,,,,,,,0.042,0.045,0.036,0.036,0.035,0.035,0.043,0.042,0.048,0.038,0.038,0.037,0.026
1인당 지역내총생산,"9,195","9,804","10,694","11,313","12,273","12,809","13,580","14,558","15,049","15,289","16,379","17,170","18,078","18,946","19,725","20,991","21,602","22,310","23,151","23,883","23,910","25,492",
지가변동률,1.05,0.42,2.09,1.54,1.58,3.317,4.185,2.911,0.451,0.284,1.401,1.398,1.583,1.679,3.149,4.059,3.931,4.58,5.011,4.553,3.404,4.376,
뉴스인덱스,,,,,,,,,,0.409448819,0.391061453,0.403193613,0.514336918,0.443809524,0.448877805,0.396067416,0.385579937,0.275862069,0.289156627,0.282926829,0.412587413,0.308333333,0.278571429
커뮤니티인덱스,,,,,,,,,,0.752413793,0.735966736,0.737656595,0.620689655,0.560900716,0.523047977,0.48509687,0.583673469,0.549208534,0.530695771,0.502739726,0.5,0.515646259,0.406271302
뉴스ver2,,,,,,,0.608005056,0.598783066,0.592490119,0.596367441,0.595732082,0.60171373,0.608008138,0.605840753,0.585842017,0.598780063,0.581274556,0.554100126,0.553655613,0.549727161,0.614504837,0.581274556,0.560426815
뉴스ver3,,,,,,,14431,20961,17988,22229,26158,32794,32875,26471,18215,17179,8729,9264,6929,6246,11498,8729,9664
커뮤니티ver2,,,,,,,,0.56217843,0.569401,0.5737436,0.57336728,0.57517061,0.55269156,0.54028249,0.5388029,0.54232521,0.54148806,0.53607223,0.53296719,0.52452888,0.52318865,0.52734062,0.52092387
커뮤니티ver3,,,,,,,,18684,19297,23084,21167,19301,13337,10978,10199,13691,19075,19416,18535,17118,9510,19066,8751
