세종특별시,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
(y) 전국출산율 대비 지역출산율,,,,,,,,,,,,,1.231303007,1.208930076,1.123651452,1.527845036,1.553754266,1.585551331,1.602865916,1.603485839,1.525686977,1.580445545,1.435897436
사교육비,,,,,,,,,,,,,,,18.6,19.6,23.7,26.2,28.8,34.1,30.7,36.9,41.8
주택매매가격변동률,,,,,,,,,,,,,0.71,0.369166667,-0.015833333,-0.0075,0.065833333,0.353333333,0.1775,-0.078333333,2.681666667,0.009166667,-1.285833333
주택전세가격변동률,,,,,,,,,,,,,,0.008505947,-0.005417954,6.68E-05,0.003272666,-0.005966369,0.002342988,-0.001736852,0.033072802,0.006192339,-0.015952102
실업률,,,,,,,,,,,,,,,,,,2.3,2.3,2.7,2.8,2.1,2
비정규직근로자 비율,,,,,,,,,,,,,,,,,,0.315,0.287,0.254,0.281,0.267,0.314
국공립 보육시설 이용률,,,,,,,,,,,,,96.7,99.2,90.2,89.1,89.4,94.6,80.4,77.8,86.1,80.3,
사립 보육시설 이용률,,,,,,,,,,,,,84.8,83.1,71.3,75.8,83.4,82.7,76.5,80.6,74.6,78,
유아 천명당 보육시설수,,,,,,,,,,,,,14.4,14.7,13.6,12.1,12.1,12.3,13.4,13.4,13.4,13.6,
여성 첫 출산 평균연령,,,,,,,,,,,,,31.17,31.65,31.97,32.33,32.55,32.79,32.94,33.15,33.3,33.51,
고령인구비율,,,,,,,,,,,,,15.2,14.7,12.7,10.6,10,9.6,9.3,9.4,9.8,10.1,10.5
범죄 발생 건수,,,,,,,,,,,,,,,,,,,,17.9,17.6,16,
평균초혼연령,,,,,,,,,,,,,28.87,29.46,29.83,30.32,29.98,30.33,30.35,30.8,30.78,31.1,31.41
여성 경제활동참가율,,,,,,,,,,,,,,,,,,0.503,0.513,0.531,0.532,0.526,0.531
여성 실업률,,,,,,,,,,,,,,,,,,0.024,0.031,0.031,0.03,0.024,0.019
남성 실업률,,,,,,,,,,,,,,,,,,0.023,0.017,0.024,0.025,0.018,0.02
1인당 지역내총생산,,,,,,,,,,,,,,"55,189","62,944","49,474","42,572","40,043","36,570","35,802","36,473","37,958",
지가변동률,,,,,,,,,,,,,3.187,5.498,4.527,4.572,4.775,7.015,7.419,4.952,10.623,7.06,
뉴스인덱스,,,,,,,,,,,,,0.408071749,0.434250765,0.364066194,0.375838926,0.381609195,0.327586207,0.323809524,0.34469697,0.379310345,0.365517241,0.305147059
커뮤니티인덱스,,,,,,,,,,0.752413793,0.735966736,0.737656595,0.620689655,0.560900716,0.523047977,0.48509687,0.583673469,0.549208534,0.530695771,0.502739726,0.5,0.515646259,0.406271302
뉴스ver2,,,,,,,0.585751979,0.568616262,0.566496024,0.589351125,0.576315416,0.599551926,0.597762329,0.600007142,0.578612717,0.58402173,0.607162114,0.541089665,0.589083722,0.582301239,0.572445099,0.607162114,0.569938195
뉴스ver3,,,,,,,3996,5979,5201,13515,20318,8296,16509,16802,18018,20856,13513,10120,14009,8745,9332,13513,11527
커뮤니티ver2,,,,,,,,0.56217843,0.569401,0.5737436,0.57336728,0.57517061,0.55269156,0.54028249,0.5388029,0.54232521,0.54148806,0.53607223,0.53296719,0.52452888,0.52318865,0.52734062,0.52092387
커뮤니티ver3,,,,,,,,18684,19297,23084,21167,19301,13337,10978,10199,13691,19075,19416,18535,17118,9510,19066,8751
